Time,ObjectCount,FPS,PhysicsTime(ms),TotalMemory(MB),ActiveObjects
0.00,1000,489.2,0.0000,611,1000
0.00,1000,345.4,0.0000,611,1000
0.01,1000,774.2,0.0000,611,1000
0.01,1000,691.7,0.0000,611,1000
0.01,1000,514.4,0.2822,611,1000
0.04,1000,35.8,0.0000,611,1000
0.04,1000,473.6,0.2770,611,1000
0.04,1000,751.4,0.0000,611,1000
0.04,1000,770.8,0.0000,611,1000
0.04,1000,670.4,0.0000,611,1000
0.05,1000,784.6,0.0000,611,1000
0.05,1000,743.0,0.0000,611,1000
0.05,1000,737.6,0.0000,612,1000
0.05,1000,573.1,0.1998,612,1000
0.05,1000,787.1,0.0000,612,1000
0.05,1000,792.8,0.0000,612,1000
0.05,1000,799.6,0.0000,612,1000
0.05,1000,777.5,0.0000,612,1000
0.06,1000,788.8,0.0000,612,1000
0.06,1000,764.7,0.0000,612,1000
0.06,1000,696.7,0.0000,612,1000
0.06,1000,787.5,0.0000,612,1000
0.06,1000,793.7,0.0000,612,1000
0.06,1000,795.0,0.0000,612,1000
0.06,1000,806.5,0.0000,612,1000
0.06,1000,772.6,0.0000,612,1000
0.07,1000,779.2,0.0000,612,1000
0.07,1000,747.1,0.0000,612,1000
0.07,1000,529.3,0.3356,612,1000
0.07,1000,775.2,0.0000,612,1000
0.07,1000,616.6,0.0000,612,1000
0.07,1000,704.9,0.0000,612,1000
0.08,1000,675.2,0.0000,612,1000
0.08,1000,766.5,0.0000,612,1000
0.08,1000,791.9,0.0000,612,1000
0.08,1000,790.2,0.0000,612,1000
0.08,1000,783.8,0.0000,612,1000
0.08,1000,778.5,0.0000,612,1000
0.08,1000,788.5,0.0000,612,1000
0.08,1000,757.3,0.0000,612,1000
0.09,1000,780.8,0.0000,612,1000
0.09,1000,784.1,0.0000,612,1000
0.09,1000,633.1,0.0000,612,1000
0.09,1000,489.9,0.3937,612,1000
0.09,1000,781.3,0.0000,612,1000
0.09,1000,785.2,0.0000,612,1000
0.09,1000,807.8,0.0000,612,1000
0.10,1000,791.0,0.0000,612,1000
0.10,1000,805.0,0.0000,612,1000
0.10,1000,797.8,0.0000,612,1000
0.10,1000,789.6,0.0000,612,1000
0.10,1000,268.5,0.0000,612,1000
0.10,1000,574.9,0.0000,611,1000
0.11,1000,680.8,0.0000,611,1000
0.11,1000,784.4,0.0000,611,1000
0.11,1000,776.8,0.0000,611,1000
0.11,1000,572.5,0.2060,611,1000
0.11,1000,754.6,0.0000,611,1000
0.11,1000,543.2,0.0000,611,1000
0.11,1000,743.1,0.0000,611,1000
0.12,1000,703.8,0.0000,611,1000
0.12,1000,639.1,0.0000,611,1000
0.12,1000,703.8,0.0000,611,1000
0.12,1000,641.0,0.0000,611,1000
0.12,1000,784.0,0.0000,611,1000
0.12,1000,795.1,0.0000,611,1000
0.12,1000,789.7,0.0000,611,1000
0.13,1000,787.0,0.0000,611,1000
0.13,1000,815.4,0.0000,611,1000
0.13,1000,672.7,0.0000,611,1000
0.13,1000,574.8,0.2242,611,1000
0.13,1000,768.1,0.0000,611,1000
0.13,1000,778.8,0.0000,611,1000
0.13,1000,812.8,0.0000,611,1000
0.14,1000,767.5,0.0000,611,1000
0.14,1000,674.7,0.0000,611,1000
0.14,1000,689.2,0.0000,611,1000
0.14,1000,646.3,0.0000,611,1000
0.14,1000,686.0,0.0000,611,1000
0.14,1000,627.9,0.0000,611,1000
0.14,1000,601.1,0.0000,611,1000
0.15,1000,589.8,0.0000,611,1000
0.15,1000,773.0,0.0000,611,1000
0.15,1000,508.3,0.3760,611,1000
0.15,1000,611.3,0.0000,611,1000
0.15,1000,647.4,0.0000,611,1000
0.15,1000,762.5,0.0000,611,1000
0.16,1000,777.4,0.0000,611,1000
0.16,1000,791.5,0.0000,611,1000
0.16,1000,796.4,0.0000,611,1000
0.16,1000,789.7,0.0000,611,1000
0.16,1000,672.6,0.0000,611,1000
0.16,1000,789.6,0.0000,611,1000
0.16,1000,809.1,0.0000,611,1000
0.16,1000,795.6,0.0000,611,1000
0.17,1000,804.6,0.0000,612,1000
0.17,1000,703.2,0.0000,612,1000
0.17,1000,573.3,0.0000,612,1000
0.17,1000,529.9,0.2493,612,1000
0.17,1000,781.5,0.0000,612,1000
0.17,1000,778.7,0.0000,612,1000
0.17,1000,775.3,0.0000,612,1000
0.18,1000,495.5,0.0000,612,1000
0.18,1000,743.2,0.0000,612,1000
0.18,1000,687.5,0.0000,612,1000
0.18,1000,626.4,0.0000,612,1000
0.18,1000,690.9,0.0000,612,1000
0.18,1000,574.7,0.0000,612,1000
0.19,1000,740.0,0.0000,612,1000
0.19,1000,784.3,0.0000,612,1000
0.19,1000,795.3,0.0000,612,1000
0.19,1000,461.0,0.4632,612,1000
0.19,1000,727.8,0.0000,612,1000
0.19,1000,541.1,0.0000,612,1000
0.19,1000,792.6,0.0000,612,1000
0.20,1000,751.0,0.0000,612,1000
